,Meta Data,Technical Analysis: EMA
2022-07-12,,{'EMA': '259.1193'}
2022-07-11,,{'EMA': '258.6407'}
2022-07-08,,{'EMA': '258.1371'}
2022-07-07,,{'EMA': '257.6686'}
2022-07-06,,{'EMA': '257.1204'}
2022-07-05,,{'EMA': '256.6534'}
2022-07-01,,{'EMA': '256.8930'}
2022-06-30,,{'EMA': '257.1338'}
2022-06-29,,{'EMA': '257.3331'}
2022-06-28,,{'EMA': '257.4988'}
2022-06-27,,{'EMA': '257.0468'}
2022-06-24,,{'EMA': '256.1302'}
2022-06-23,,{'EMA': '255.7569'}
2022-06-22,,{'EMA': '255.9655'}
2022-06-21,,{'EMA': '256.5602'}
2022-06-17,,{'EMA': '257.3766'}
2022-06-16,,{'EMA': '258.8260'}
2022-06-15,,{'EMA': '260.2934'}
2022-06-14,,{'EMA': '261.6762'}
2022-06-13,,{'EMA': '263.6390'}
2022-06-10,,{'EMA': '265.6740'}
2022-06-09,,{'EMA': '266.3769'}
2022-06-08,,{'EMA': '266.4356'}
2022-06-07,,{'EMA': '266.1100'}
2022-06-06,,{'EMA': '266.2556'}
2022-06-03,,{'EMA': '265.8772'}
2022-06-02,,{'EMA': '265.6348'}
2022-06-01,,{'EMA': '265.9497'}
2022-05-31,,{'EMA': '265.2296'}
2022-05-27,,{'EMA': '264.7020'}
2022-05-26,,{'EMA': '264.5237'}
2022-05-25,,{'EMA': '264.9439'}
2022-05-24,,{'EMA': '265.8161'}
2022-05-23,,{'EMA': '266.8003'}
2022-05-20,,{'EMA': '268.1211'}
2022-05-19,,{'EMA': '269.4003'}
2022-05-18,,{'EMA': '271.1390'}
2022-05-17,,{'EMA': '272.1483'}
2022-05-16,,{'EMA': '273.0141'}
2022-05-13,,{'EMA': '274.5759'}
2022-05-12,,{'EMA': '276.5519'}
2022-05-11,,{'EMA': '278.6918'}
2022-05-10,,{'EMA': '280.2545'}
2022-05-09,,{'EMA': '281.3785'}
2022-05-06,,{'EMA': '282.7762'}
2022-05-05,,{'EMA': '283.8439'}
2022-05-04,,{'EMA': '283.9554'}
2022-05-03,,{'EMA': '284.3701'}
2022-05-02,,{'EMA': '284.6907'}
2022-04-29,,{'EMA': '285.6622'}
2022-04-28,,{'EMA': '285.6515'}
2022-04-27,,{'EMA': '285.9789'}
2022-04-26,,{'EMA': '286.6446'}
2022-04-25,,{'EMA': '287.8322'}
2022-04-22,,{'EMA': '289.5555'}
2022-04-21,,{'EMA': '290.6204'}
2022-04-20,,{'EMA': '291.1085'}
2022-04-19,,{'EMA': '291.5643'}
2022-04-18,,{'EMA': '293.0578'}
2022-04-14,,{'EMA': '294.7472'}
2022-04-13,,{'EMA': '295.6965'}
2022-04-12,,{'EMA': '297.2715'}
2022-04-11,,{'EMA': '298.3599'}
2022-04-08,,{'EMA': '299.3042'}
2022-04-07,,{'EMA': '299.4864'}
2022-04-06,,{'EMA': '300.0611'}
2022-04-05,,{'EMA': '299.8487'}
2022-04-04,,{'EMA': '298.8150'}
2022-04-01,,{'EMA': '297.9928'}
2022-03-31,,{'EMA': '297.1596'}
2022-03-30,,{'EMA': '295.7946'}
2022-03-29,,{'EMA': '294.3070'}
2022-03-28,,{'EMA': '292.6557'}
2022-03-25,,{'EMA': '291.7879'}
2022-03-24,,{'EMA': '290.7442'}
2022-03-23,,{'EMA': '290.1992'}
2022-03-22,,{'EMA': '289.4640'}
2022-03-21,,{'EMA': '288.7255'}
2022-03-18,,{'EMA': '288.0033'}
2022-03-17,,{'EMA': '287.5575'}
2022-03-16,,{'EMA': '287.2729'}
2022-03-15,,{'EMA': '287.3739'}
2022-03-14,,{'EMA': '288.3523'}
2022-03-11,,{'EMA': '289.4295'}
2022-03-10,,{'EMA': '289.8600'}
2022-03-09,,{'EMA': '290.8226'}
2022-03-08,,{'EMA': '291.8399'}
2022-03-07,,{'EMA': '293.5174'}
2022-03-04,,{'EMA': '294.3002'}
2022-03-03,,{'EMA': '294.5909'}
2022-03-02,,{'EMA': '294.0592'}
2022-03-01,,{'EMA': '294.2200'}
2022-02-28,,{'EMA': '294.2938'}
2022-02-25,,{'EMA': '294.5819'}
2022-02-24,,{'EMA': '294.8167'}
2022-02-23,,{'EMA': '297.3156'}
2022-02-22,,{'EMA': '298.3149'}
2022-02-18,,{'EMA': '299.9269'}
2022-02-17,,{'EMA': '300.9031'}
2022-02-16,,{'EMA': '301.6492'}
2022-02-15,,{'EMA': '302.2714'}
2022-02-14,,{'EMA': '302.8545'}
2022-02-11,,{'EMA': '304.1122'}
2022-02-10,,{'EMA': '304.5650'}
2022-02-09,,{'EMA': '304.9790'}
2022-02-08,,{'EMA': '304.8588'}
2022-02-07,,{'EMA': '305.5779'}
2022-02-04,,{'EMA': '305.8828'}
2022-02-03,,{'EMA': '306.8070'}
2022-02-02,,{'EMA': '306.9067'}
2022-02-01,,{'EMA': '307.0026'}
2022-01-31,,{'EMA': '307.0309'}
2022-01-28,,{'EMA': '307.2064'}
2022-01-27,,{'EMA': '308.2610'}
2022-01-26,,{'EMA': '309.1810'}
2022-01-25,,{'EMA': '309.6668'}
2022-01-24,,{'EMA': '311.8281'}
2022-01-21,,{'EMA': '314.1384'}
2022-01-20,,{'EMA': '315.6437'}
2022-01-19,,{'EMA': '316.6685'}
2022-01-18,,{'EMA': '318.0706'}
2022-01-14,,{'EMA': '319.8322'}
2022-01-13,,{'EMA': '321.7522'}
2022-01-12,,{'EMA': '322.2619'}
2022-01-11,,{'EMA': '322.9012'}
2022-01-10,,{'EMA': '324.2260'}
2022-01-07,,{'EMA': '326.0680'}
2022-01-06,,{'EMA': '327.6334'}
2022-01-05,,{'EMA': '329.4541'}
2022-01-04,,{'EMA': '330.2010'}
2022-01-03,,{'EMA': '330.1362'}
2021-12-31,,{'EMA': '330.0136'}
2021-12-30,,{'EMA': '329.5665'}
2021-12-29,,{'EMA': '328.7387'}
2021-12-28,,{'EMA': '327.8884'}
2021-12-27,,{'EMA': '326.7702'}
2021-12-23,,{'EMA': '326.3001'}
2021-12-22,,{'EMA': '326.0508'}
2021-12-21,,{'EMA': '326.2163'}
2021-12-20,,{'EMA': '326.8933'}
2021-12-17,,{'EMA': '327.9582'}
2021-12-16,,{'EMA': '329.0475'}
2021-12-15,,{'EMA': '328.7805'}
2021-12-14,,{'EMA': '329.1883'}
2021-12-13,,{'EMA': '329.1813'}
2021-12-10,,{'EMA': '328.4365'}
2021-12-09,,{'EMA': '328.1805'}
2021-12-08,,{'EMA': '327.9552'}
2021-12-07,,{'EMA': '327.6184'}
2021-12-06,,{'EMA': '327.6106'}
2021-12-03,,{'EMA': '328.3619'}
2021-12-02,,{'EMA': '328.3938'}
2021-12-01,,{'EMA': '328.5960'}
2021-11-30,,{'EMA': '328.3411'}
2021-11-29,,{'EMA': '328.0419'}
2021-11-26,,{'EMA': '327.7503'}
2021-11-24,,{'EMA': '327.4879'}
2021-11-23,,{'EMA': '327.0086'}
2021-11-22,,{'EMA': '326.4052'}
2021-11-19,,{'EMA': '324.9935'}
2021-11-18,,{'EMA': '323.6363'}
2021-11-17,,{'EMA': '322.5841'}
2021-11-16,,{'EMA': '321.3515'}
2021-11-15,,{'EMA': '320.3783'}
2021-11-12,,{'EMA': '319.1244'}
2021-11-11,,{'EMA': '318.1021'}
2021-11-10,,{'EMA': '317.2409'}
2021-11-09,,{'EMA': '315.9661'}
2021-11-08,,{'EMA': '314.3137'}
2021-11-05,,{'EMA': '312.4769'}
2021-11-04,,{'EMA': '310.3372'}
2021-11-03,,{'EMA': '308.5378'}
2021-11-02,,{'EMA': '306.4588'}
2021-11-01,,{'EMA': '304.5260'}
2021-10-29,,{'EMA': '302.2968'}
2021-10-28,,{'EMA': '300.5574'}
2021-10-27,,{'EMA': '298.6247'}
2021-10-26,,{'EMA': '297.3199'}
2021-10-25,,{'EMA': '296.3778'}
2021-10-22,,{'EMA': '295.5032'}
2021-10-21,,{'EMA': '294.4386'}
2021-10-20,,{'EMA': '293.5861'}
2021-10-19,,{'EMA': '292.4471'}
2021-10-18,,{'EMA': '291.2793'}
2021-10-15,,{'EMA': '290.4659'}
2021-10-14,,{'EMA': '289.6925'}
2021-10-13,,{'EMA': '289.1505'}
2021-10-12,,{'EMA': '288.9784'}
2021-10-11,,{'EMA': '288.7467'}
2021-10-08,,{'EMA': '288.7305'}
2021-10-07,,{'EMA': '288.3873'}
2021-10-06,,{'EMA': '288.1127'}
2021-10-05,,{'EMA': '288.7373'}
2021-10-04,,{'EMA': '289.5954'}
2021-10-01,,{'EMA': '290.2085'}
2021-09-30,,{'EMA': '291.4035'}
2021-09-29,,{'EMA': '292.3641'}
2021-09-28,,{'EMA': '293.4809'}
2021-09-27,,{'EMA': '294.2464'}
2021-09-24,,{'EMA': '294.4625'}
2021-09-23,,{'EMA': '294.4942'}
2021-09-22,,{'EMA': '294.4683'}
2021-09-21,,{'EMA': '294.6490'}
2021-09-20,,{'EMA': '294.9498'}
2021-09-17,,{'EMA': '295.2176'}
2021-09-16,,{'EMA': '294.7389'}
2021-09-15,,{'EMA': '294.2527'}
2021-09-14,,{'EMA': '293.7673'}
2021-09-13,,{'EMA': '293.5982'}
2021-09-10,,{'EMA': '293.6105'}
2021-09-09,,{'EMA': '293.5387'}
2021-09-08,,{'EMA': '293.2225'}
2021-09-07,,{'EMA': '292.9773'}
2021-09-03,,{'EMA': '292.5867'}
2021-09-02,,{'EMA': '292.1585'}
2021-09-01,,{'EMA': '291.5682'}
2021-08-31,,{'EMA': '290.8533'}
2021-08-30,,{'EMA': '289.9135'}
2021-08-27,,{'EMA': '289.2057'}
2021-08-26,,{'EMA': '288.6370'}
2021-08-25,,{'EMA': '287.8139'}
2021-08-24,,{'EMA': '286.5819'}
2021-08-23,,{'EMA': '285.1558'}
2021-08-20,,{'EMA': '283.7622'}
2021-08-19,,{'EMA': '282.5768'}
2021-08-18,,{'EMA': '282.3605'}
2021-08-17,,{'EMA': '281.7925'}
2021-08-16,,{'EMA': '281.1885'}
2021-08-13,,{'EMA': '280.4455'}
2021-08-12,,{'EMA': '279.9933'}
2021-08-11,,{'EMA': '279.7765'}
2021-08-10,,{'EMA': '279.4809'}
2021-08-09,,{'EMA': '278.9993'}
2021-08-06,,{'EMA': '278.3759'}
2021-08-05,,{'EMA': '277.8128'}
2021-08-04,,{'EMA': '277.3533'}
2021-08-03,,{'EMA': '276.9129'}
2021-08-02,,{'EMA': '276.5072'}
2021-07-30,,{'EMA': '275.9683'}
2021-07-29,,{'EMA': '275.4927'}
2021-07-28,,{'EMA': '274.8647'}
2021-07-27,,{'EMA': '273.9027'}
2021-07-26,,{'EMA': '272.8012'}
2021-07-23,,{'EMA': '271.6319'}
2021-07-22,,{'EMA': '270.5061'}
2021-07-21,,{'EMA': '269.6152'}
2021-07-20,,{'EMA': '269.1211'}
2021-07-19,,{'EMA': '268.6636'}
2021-07-16,,{'EMA': '268.0715'}
2021-07-15,,{'EMA': '267.1114'}
2021-07-14,,{'EMA': '266.0622'}
2021-07-13,,{'EMA': '264.8741'}
2021-07-12,,{'EMA': '264.0422'}
2021-07-09,,{'EMA': '262.9659'}
2021-07-08,,{'EMA': '262.1203'}
2021-07-07,,{'EMA': '261.0740'}
2021-07-06,,{'EMA': '259.6770'}
2021-07-02,,{'EMA': '258.2752'}
2021-07-01,,{'EMA': '257.2460'}
2021-06-30,,{'EMA': '256.4300'}
2021-06-29,,{'EMA': '255.4260'}
2021-06-28,,{'EMA': '254.5012'}
2021-06-25,,{'EMA': '253.7478'}
2021-06-24,,{'EMA': '252.9147'}
2021-06-23,,{'EMA': '252.0051'}
2021-06-22,,{'EMA': '251.0213'}
2021-06-21,,{'EMA': '250.2610'}
2021-06-18,,{'EMA': '249.7102'}
2021-06-17,,{'EMA': '249.1229'}
2021-06-16,,{'EMA': '248.8279'}
2021-06-15,,{'EMA': '248.1751'}
2021-06-14,,{'EMA': '247.4202'}
2021-06-11,,{'EMA': '246.7742'}
2021-06-10,,{'EMA': '246.0554'}
2021-06-09,,{'EMA': '245.6283'}
2021-06-08,,{'EMA': '245.2059'}
2021-06-07,,{'EMA': '244.6082'}
2021-06-04,,{'EMA': '244.4608'}
2021-06-03,,{'EMA': '244.5171'}
2021-06-02,,{'EMA': '244.8291'}
2021-06-01,,{'EMA': '244.8864'}
2021-05-28,,{'EMA': '244.6437'}
2021-05-27,,{'EMA': '244.3999'}
2021-05-26,,{'EMA': '244.1144'}
2021-05-25,,{'EMA': '243.7749'}
2021-05-24,,{'EMA': '243.3680'}
2021-05-21,,{'EMA': '243.3125'}
2021-05-20,,{'EMA': '243.2733'}
2021-05-19,,{'EMA': '243.5849'}
2021-05-18,,{'EMA': '244.3855'}
2021-05-17,,{'EMA': '244.6367'}
2021-05-14,,{'EMA': '244.8855'}
2021-05-13,,{'EMA': '245.2550'}
2021-05-12,,{'EMA': '246.0321'}
2021-05-11,,{'EMA': '246.8512'}
2021-05-10,,{'EMA': '247.5179'}
2021-05-07,,{'EMA': '247.6305'}
2021-05-06,,{'EMA': '247.6287'}
2021-05-05,,{'EMA': '248.1866'}
2021-05-04,,{'EMA': '248.5439'}
2021-05-03,,{'EMA': '248.7493'}
2021-04-30,,{'EMA': '248.7366'}
2021-04-29,,{'EMA': '249.0821'}
2021-04-28,,{'EMA': '248.9004'}
2021-04-27,,{'EMA': '248.6398'}
2021-04-26,,{'EMA': '247.8122'}
2021-04-23,,{'EMA': '246.8946'}
2021-04-22,,{'EMA': '246.2564'}
2021-04-21,,{'EMA': '245.3256'}
2021-04-20,,{'EMA': '244.4264'}
2021-04-19,,{'EMA': '243.5473'}
2021-04-16,,{'EMA': '242.3476'}
2021-04-15,,{'EMA': '241.0986'}
2021-04-14,,{'EMA': '239.8758'}
2021-04-13,,{'EMA': '238.5755'}
2021-04-12,,{'EMA': '237.1666'}
2021-04-09,,{'EMA': '235.8670'}
2021-04-08,,{'EMA': '234.6181'}
2021-04-07,,{'EMA': '233.2542'}
2021-04-06,,{'EMA': '232.2410'}
2021-04-05,,{'EMA': '231.1461'}
2021-04-01,,{'EMA': '230.4181'}
2021-03-31,,{'EMA': '230.0387'}
2021-03-30,,{'EMA': '230.1673'}
2021-03-29,,{'EMA': '230.2484'}
2021-03-26,,{'EMA': '230.0367'}
2021-03-25,,{'EMA': '230.2987'}
2021-03-24,,{'EMA': '230.2186'}
2021-03-23,,{'EMA': '229.8806'}
2021-03-22,,{'EMA': '229.5441'}
2021-03-19,,{'EMA': '229.8826'}
2021-03-18,,{'EMA': '230.1813'}
2021-03-17,,{'EMA': '230.3586'}
2021-03-16,,{'EMA': '230.2011'}
2021-03-15,,{'EMA': '230.0150'}
2021-03-12,,{'EMA': '229.9399'}
2021-03-11,,{'EMA': '229.9507'}
2021-03-10,,{'EMA': '229.8692'}
2021-03-09,,{'EMA': '229.5793'}
2021-03-08,,{'EMA': '229.6649'}
2021-03-05,,{'EMA': '229.9075'}
2021-03-04,,{'EMA': '230.3563'}
2021-03-03,,{'EMA': '231.1232'}
2021-03-02,,{'EMA': '231.4345'}
2021-03-01,,{'EMA': '231.3001'}
2021-02-26,,{'EMA': '231.2612'}
2021-02-25,,{'EMA': '231.6481'}
2021-02-24,,{'EMA': '232.0193'}
2021-02-23,,{'EMA': '232.6308'}
2021-02-22,,{'EMA': '233.2726'}
2021-02-19,,{'EMA': '233.2817'}
2021-02-18,,{'EMA': '232.6700'}
2021-02-17,,{'EMA': '232.1887'}
2021-02-16,,{'EMA': '231.7064'}
2021-02-12,,{'EMA': '230.8665'}
2021-02-11,,{'EMA': '230.0501'}
2021-02-10,,{'EMA': '229.0692'}
2021-02-09,,{'EMA': '227.9685'}
2021-02-08,,{'EMA': '227.0645'}
2021-02-05,,{'EMA': '225.9447'}
2021-02-04,,{'EMA': '224.8030'}
2021-02-03,,{'EMA': '223.5050'}
2021-02-02,,{'EMA': '222.3801'}
2021-02-01,,{'EMA': '220.9731'}
2021-01-29,,{'EMA': '220.0368'}
2021-01-28,,{'EMA': '218.9159'}
2021-01-27,,{'EMA': '217.7200'}
2021-01-26,,{'EMA': '216.1704'}
2021-01-25,,{'EMA': '215.0674'}
2021-01-22,,{'EMA': '214.1227'}
2021-01-21,,{'EMA': '213.2834'}
2021-01-20,,{'EMA': '212.5934'}
2021-01-19,,{'EMA': '212.5203'}
2021-01-15,,{'EMA': '212.8269'}
2021-01-14,,{'EMA': '213.1868'}
2021-01-13,,{'EMA': '213.3484'}
2021-01-12,,{'EMA': '213.7114'}
2021-01-11,,{'EMA': '213.8677'}
2021-01-08,,{'EMA': '213.8466'}
2021-01-07,,{'EMA': '213.8028'}
2021-01-06,,{'EMA': '214.2093'}
2021-01-05,,{'EMA': '214.8397'}
2021-01-04,,{'EMA': '215.0343'}
2020-12-31,,{'EMA': '214.7321'}
2020-12-30,,{'EMA': '214.4809'}
2020-12-29,,{'EMA': '213.8586'}
2020-12-28,,{'EMA': '213.0684'}
2020-12-24,,{'EMA': '212.3814'}
2020-12-23,,{'EMA': '211.9225'}
2020-12-22,,{'EMA': '211.2522'}
2020-12-21,,{'EMA': '210.5560'}
2020-12-18,,{'EMA': '210.2939'}
2020-12-17,,{'EMA': '209.9037'}
2020-12-16,,{'EMA': '209.3489'}
2020-12-15,,{'EMA': '209.2405'}
2020-12-14,,{'EMA': '209.0805'}
2020-12-11,,{'EMA': '209.1069'}
2020-12-10,,{'EMA': '209.4347'}
2020-12-09,,{'EMA': '209.6269'}
2020-12-08,,{'EMA': '209.5060'}
2020-12-07,,{'EMA': '209.4897'}
2020-12-04,,{'EMA': '209.4325'}
2020-12-03,,{'EMA': '209.3843'}
2020-12-02,,{'EMA': '209.2931'}
2020-12-01,,{'EMA': '209.1663'}
2020-11-30,,{'EMA': '209.0631'}
2020-11-27,,{'EMA': '208.9898'}
2020-11-25,,{'EMA': '208.8356'}
2020-11-24,,{'EMA': '208.6405'}
2020-11-23,,{'EMA': '208.9668'}
2020-11-20,,{'EMA': '209.1925'}
2020-11-19,,{'EMA': '209.3182'}
2020-11-18,,{'EMA': '209.5369'}
2020-11-17,,{'EMA': '209.5550'}
2020-11-16,,{'EMA': '209.3909'}
2020-11-13,,{'EMA': '209.3306'}
2020-11-12,,{'EMA': '209.1186'}
2020-11-11,,{'EMA': '208.8024'}
2020-11-10,,{'EMA': '208.9256'}
2020-11-09,,{'EMA': '208.8549'}
2020-11-06,,{'EMA': '207.8062'}
2020-11-05,,{'EMA': '206.8652'}
2020-11-04,,{'EMA': '205.8516'}
